"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.mitchellbosecke.benchmark.Freemarker.benchmark","thrpt",1,50,15997.735389,103.177157,"ops/s"
"com.mitchellbosecke.benchmark.Handlebars.benchmark","thrpt",1,50,18460.070710,88.631093,"ops/s"
"com.mitchellbosecke.benchmark.Mustache.benchmark","thrpt",1,50,20876.118422,169.764119,"ops/s"
"com.mitchellbosecke.benchmark.Pebble.benchmark","thrpt",1,50,32138.976641,254.711771,"ops/s"
"com.mitchellbosecke.benchmark.Rocker.benchmark","thrpt",1,50,35907.633775,145.779482,"ops/s"
"com.mitchellbosecke.benchmark.TemporizeToString.benchmark","thrpt",1,50,40087.327247,300.150254,"ops/s"
"com.mitchellbosecke.benchmark.TemporizeWriter.benchmark","thrpt",1,50,54552.405836,358.822473,"ops/s"
"com.mitchellbosecke.benchmark.Thymeleaf.benchmark","thrpt",1,50,1525.787140,23.858877,"ops/s"
"com.mitchellbosecke.benchmark.Trimou.benchmark","thrpt",1,50,21768.896015,182.320465,"ops/s"
"com.mitchellbosecke.benchmark.Velocity.benchmark","thrpt",1,50,20553.772766,168.506179,"ops/s"
